termo,frequencia,musicas
rebelar,1,Baihuno
muro,2,"Baihuno, Bel Prazer, Comentários a Respeito de John"
berlim,1,Baihuno
nova,16,"Baihuno, Balada de Madame Frigidaire, Brasileiramente Linda, Caso Comum de Trânsito, Como Nossos Pais, Espacial, Fotografia 3X4, Mucuripe, Na Hora do Almoço, Paraíso (1982), Recitanda, Todo Sujo de Batom, Tudo Outra Vez"
ordem,1,Baihuno
mundial,1,Baihuno
camisa-de-força-de-vênus,1,Baihuno
compraria,1,Baihuno
menos,2,"Baihuno, Rock Romance de Um Robô Goliardo"
gozo,3,"Baihuno, Cuidar do Homem, De Primeira Grandeza"
animal,2,"Baihuno, Brasileiramente Linda, Sensual"
noticias,1,Baihuno
cara,14,"Baihuno, Conheço o Meu Lugar, Cuidar do Homem, Em Resposta à Carta de Fã, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, Lira dos Vinte Anos, Meu Cordial Brasileiro, Notícia de Terra Civilizada, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, Se Você Tivesse Aparecido, Todo Sujo de Batom, Tudo Outra Vez"
caiu,1,Baihuno
vendo,4,"Baihuno, Dandy, Fotografia 3X4, Meu Cordial Brasileiro"
mundo,24,"Baihuno, Carisma, Caso Comum de Trânsito, Coração Selvagem, Cuidar do Homem, Dandy, Depois Das Seis, Extra Cool, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Medo de Avião, Monólogo das Grandezas do Brasil, Ploft, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, Tambor Tantã"
certo,5,"Baihuno, Divina Comédia Humana, No Maior Jazz"
perto,5,"Baihuno, Bossa Em Palavrões, Meu Nome é Cem, No Maior Jazz, Retórica Sentimental"
dá,12,"Baihuno, Balada de Madame Frigidaire, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Clamor No Deserto, Do Mar, do Céu, do Campo, Lira dos Vinte Anos, Meu Cordial Brasileiro, Paraíso (1982), Pequeno Mapa do Tempo, Rock Romance de Um Robô Goliardo, Tambor Tantã"
flôres,1,Baihuno
comandante,1,Baihuno
dispensou,1,Baihuno
serviço,3,"Baihuno, Monólogo das Grandezas do Brasil, Ondas Tropicais"
militar,3,"Baihuno, Monólogo das Grandezas do Brasil, Tambor Tantã"
precisa,4,"Baihuno, Clamor No Deserto, Como Se Fosse Pecado, Elegia Obscena, Seixo Rolado"
heróis,1,Baihuno
feras,3,"Baihuno, Rock Romance de Um Robô Goliardo, S.A."
matam,1,Baihuno
guerra,10,"Baihuno, Cuidar do Homem, E Que Tudo Mais Vá Para o Céu, Lamento do Marginal Bem Sucedido, Monólogo das Grandezas do Brasil, No Maior Jazz, Rock Romance de Um Robô Goliardo, Tambor Tantã"
choram,1,Baihuno
volta,2,"Amor e Crime, Baihuno, Caso Comum de Trânsito, Como Nossos Pais, Depois Das Seis, Espacial, Lira dos Vinte Anos, Monólogo das Grandezas do Brasil, Notícia de Terra Civilizada, Os Profissionais, Paralelas, Princesa do Meu Lugar, Viva La Dolcezza"
lar,1,"Alucinação, Baihuno, Brotinho de Bambu, Caso Comum de Trânsito, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, De Primeira Grandeza, Em Resposta à Carta de Fã, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, No Maior Jazz, Os Profissionais, Princesa do Meu Lugar, Recitanda, Retórica Sentimental, Se Você Tivesse Aparecido, Seixo Rolado, Tambor Tantã, Todo Sujo de Batom"
gênios-do-mal,1,Baihuno
tropicais,1,Baihuno
poderosos,1,Baihuno
bestiais,1,Baihuno
vergonhas,1,Baihuno
gentil,1,Baihuno
chico,1,Baihuno
gil,1,"Baihuno, Coração Selvagem, Kitsch Metropolitanus, Rock Romance de Um Robô Goliardo"
caetano,1,Baihuno
cantaria,1,"Baihuno, Bossa Em Palavrões"
todo,14,"Arte Final, Baihuno, Carisma, Caso Comum de Trânsito, Clamor No Deserto, Depois Das Seis, Em Resposta à Carta de Fã, Jornal Blues (Canção Leve de Escárnio e Maldizer), La Vida Es Sueño, Lira dos Vinte Anos, Medo de Avião, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Os Profissionais"
ufano,1,Baihuno
anais,1,Baihuno
civil,4,"Baihuno, E Que Tudo Mais Vá Para o Céu, Lamento do Marginal Bem Sucedido, Notícia de Terra Civilizada, Quinhentos Anos de Quê?, Seixo Rolado, Senhoras do Amazonas, Tambor Tantã"
pastor,1,"Baihuno, Os Profissionais"
igreja,1,Baihuno
reza,1,"Baihuno, Lamento do Marginal Bem Sucedido"
ovelha,1,Baihuno
negra,3,"Baihuno, Na Hora do Almoço, Os Derradeiros Moicanos"
jamais,2,"Baihuno, Conheço o Meu Lugar"
branquinha,1,Baihuno
vendi,1,Baihuno
negócio,2,"Baihuno, Bossa Em Palavrões, Clamor No Deserto, Pequeno Perfil de Um Cidadão Comum"
comprar,2,"Baihuno, Bossa Em Palavrões"
perguntarem,1,Baihuno
jeito,10,"Amor de Perdição, Baihuno, Clamor No Deserto, Coração Selvagem, Divina Comédia Humana, Elegia Obscena, Lira dos Vinte Anos, Meu Cordial Brasileiro, Paraíso, Recitanda, Rock Romance de Um Robô Goliardo, Sujeito de Sorte, Todo Sujo de Batom"
errou,1,"Aguapé, Baihuno"
elogiando,1,Baihuno
loucura,2,"Baihuno, Como Se Fosse Pecado"
pondo-me,1,Baihuno
show,4,"Baihuno, Meu Cordial Brasileiro, Pequeno Perfil de Um Cidadão Comum, Recitanda"
começou,3,"Baihuno, Meu Cordial Brasileiro, Recitanda"
trogloditas,1,Baihuno
traficantes,1,Baihuno
neonazistas,1,Baihuno
farsantes,1,Baihuno
barbárie,1,Baihuno
devastação,1,Baihuno
rinoceronte,1,Baihuno
decente,1,"Baihuno, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro"
demente,1,"Baihuno, Cuidar do Homem"
ocidente,3,"Baihuno, Espacial, Seixo Rolado"
cristão,3,"Baihuno, Monólogo das Grandezas do Brasil, Os Derradeiros Moicanos"
pós-modernamente,1,Balada de Madame Frigidaire
apaixonado,3,"Balada de Madame Frigidaire, Fotografia 3X4"
geladeira,3,Balada de Madame Frigidaire
primeira,5,"Balada de Madame Frigidaire, Medo de Avião, Os Derradeiros Moicanos"
escrava,1,Balada de Madame Frigidaire
comprei,1,Balada de Madame Frigidaire
veio,2,"Balada de Madame Frigidaire, Galos, Noites e Quintais"
fez,17,"Baihuno, Balada de Madame Frigidaire, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Como Nossos Pais, Conheço o Meu Lugar, De Primeira Grandeza, Espacial, Galos, Noites e Quintais, Lira dos Vinte Anos, Monólogo das Grandezas do Brasil, No Maior Jazz, Rock Romance de Um Robô Goliardo"
revolução,2,"Balada de Madame Frigidaire, Dandy"
feminino,1,Balada de Madame Frigidaire
conforto,1,Balada de Madame Frigidaire
industrial,3,"Balada de Madame Frigidaire, Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
injetou-se,1,Balada de Madame Frigidaire
veia,1,"Balada de Madame Frigidaire, Lira dos Vinte Anos"
dei,2,"A Palo Seco, Aguapé, Amor de Perdição, Balada de Madame Frigidaire, Balada do Amor, Bel Prazer, Brincando Com a Vida, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Coração Selvagem, Depois Das Seis, Divina Comédia Humana, Elegia Obscena, Espacial, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Na Hora do Almoço, Não Leve Flores, Ondas Tropicais, Os Derradeiros Moicanos, Paraíso, Recitanda, Rock Romance de Um Robô Goliardo, Sensual, Tudo Outra Vez, Viva La Dolcezza, Voz da América"
bandeira,3,"Balada de Madame Frigidaire, Bel Prazer, Canção de Gesta de Um Trovador Eletrônico, Ondas Tropicais, Rock Romance de Um Robô Goliardo"
fé,3,"Até Amanhã, Balada de Madame Frigidaire, Lamento do Marginal Bem Sucedido, Não Leve Flores, Notícia de Terra Civilizada, Tudo Outra Vez"
nessa,4,"Alucinação, Balada de Madame Frigidaire, Carisma, Jornal Blues (Canção Leve de Escárnio e Maldizer), Nada Como Viver, Tudo Outra Vez"
deusa,5,"Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, De Primeira Grandeza"
gorda,1,Balada de Madame Frigidaire
tecnologia,1,Balada de Madame Frigidaire
gelei,1,Balada de Madame Frigidaire
pura,1,Balada de Madame Frigidaire
emoção,4,"Balada de Madame Frigidaire, Ondas Tropicais, Rock Romance de Um Robô Goliardo, Tocando Por Música"
desde,2,"Balada de Madame Frigidaire, Lamento do Marginal Bem Sucedido"
adolescente,5,"Balada de Madame Frigidaire, Brincando Com a Vida, Dandy, Jornal Blues (Canção Leve de Escárnio e Maldizer), Medo de Avião"
arrepio,1,Balada de Madame Frigidaire
ante,2,"Alucinação, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Baihuno, Balada de Madame Frigidaire, Brasileiramente Linda, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Carisma, Clamor No Deserto, Conheço o Meu Lugar, Coração Selvagem, Cuidar do Homem, Depois Das Seis, Elegia Obscena, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, Lamento do Marginal Bem Sucedido, Meu Nome é Cem, Na Hora do Almoço, Não Leve Flores, Notícia de Terra Civilizada, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Rock Romance de Um Robô Goliardo, S.A., Tudo Outra Vez, Voz da América"
empregada,1,Balada de Madame Frigidaire
debutante,1,Balada de Madame Frigidaire
elétrica,1,Balada de Madame Frigidaire
doméstica,1,Balada de Madame Frigidaire
sex-appeal,1,Balada de Madame Frigidaire
dá-me,2,"Balada de Madame Frigidaire, Caso Comum de Trânsito"
frio,1,Balada de Madame Frigidaire
barriga,1,Balada de Madame Frigidaire
fertilidade,1,Balada de Madame Frigidaire
ready,2,"Balada de Madame Frigidaire, Do Mar, do Céu, do Campo"
made,2,"Aguapé, Balada de Madame Frigidaire, Do Mar, do Céu, do Campo"
duchamp,2,"Balada de Madame Frigidaire, Os Derradeiros Moicanos"
passou,1,Balada de Madame Frigidaire
virou,2,"Balada de Madame Frigidaire, Meu Cordial Brasileiro"
super-star,1,Balada de Madame Frigidaire
outra,8,"Balada de Madame Frigidaire, Balada do Amor, Bossa Em Palavrões, Coração Selvagem, Espacial, Ondas Tropicais, Pequeno Perfil de Um Cidadão Comum, Rock Romance de Um Robô Goliardo, Tocando Por Música, Tudo Outra Vez"
puta,2,"Balada de Madame Frigidaire, Bossa Em Palavrões, Em Resposta à Carta de Fã"
amiga,3,"Balada de Madame Frigidaire, Meu Nome é Cem, Paraíso (1982)"
mister,4,"Apenas Um Rapaz Latino Americano, Balada de Madame Frigidaire, Balada do Amor, Tambor Tantã"
andy,2,"Balada de Madame Frigidaire, Dandy"
papa,2,Balada de Madame Frigidaire
pop,2,"Balada de Madame Frigidaire, Populus, Retórica Sentimental, Rock Romance de Um Robô Goliardo"
xarope,2,Balada de Madame Frigidaire
cansaram,2,Balada de Madame Frigidaire
sexo,8,"Balada de Madame Frigidaire, Beijo Molhado, Bel Prazer, Canção de Gesta de Um Trovador Eletrônico, Lamento do Marginal Bem Sucedido, Os Profissionais, Rock Romance de Um Robô Goliardo"
pátria,2,Balada de Madame Frigidaire
frigidaire,4,Balada de Madame Frigidaire
freud,2,Balada de Madame Frigidaire
rapaziada,6,"Balada de Madame Frigidaire, Os Profissionais, Rock Romance de Um Robô Goliardo, Tudo Outra Vez"
cair,4,"Balada de Madame Frigidaire, Canção de Gesta de Um Trovador Eletrônico, Lamento do Marginal Bem Sucedido, Rock Romance de Um Robô Goliardo"
cantada,2,Balada de Madame Frigidaire
dum,2,Balada de Madame Frigidaire
objeto,4,"Balada de Madame Frigidaire, Do Mar, do Céu, do Campo, Objeto Direto, Ondas Tropicais"
confundo,1,Balada de Madame Frigidaire
madame,2,Balada de Madame Frigidaire
classe,1,Balada de Madame Frigidaire
média,2,"Balada de Madame Frigidaire, Divina Comédia Humana, Jornal Blues (Canção Leve de Escárnio e Maldizer)"
mame,1,Balada de Madame Frigidaire
prazo,1,Balada de Madame Frigidaire
der,4,"Arte Final, Baihuno, Balada de Madame Frigidaire, Bossa Em Palavrões, Brincando Com a Vida, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Extra Cool, Fotografia 3X4, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Não Leve Flores, Os Derradeiros Moicanos, Os Profissionais, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, S.A., Sujeito de Sorte, Tambor Tantã, Todo Sujo de Batom, Voz da América"
brancorno,1,Balada de Madame Frigidaire
abre,5,"Balada de Madame Frigidaire, Espacial, Jornal Blues (Canção Leve de Escárnio e Maldizer), Paralelas, Voz da América"
fecha,1,"Balada de Madame Frigidaire, Como Nossos Pais, Na Hora do Almoço"
sensual,4,"Balada de Madame Frigidaire, Divina Comédia Humana, Os Derradeiros Moicanos, Ploft, Sensual"
dessa,2,"Alucinação, Balada de Madame Frigidaire, Os Profissionais, Paraíso"
senhora,2,"Arte Final, Balada de Madame Frigidaire, Brasileiramente Linda, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Senhoras do Amazonas"
ascéptica,1,Balada de Madame Frigidaire
saio,1,Balada de Madame Frigidaire
traio,1,Balada de Madame Frigidaire
televisão,2,"Balada de Madame Frigidaire, Rock Romance de Um Robô Goliardo"
rainha,3,"Balada de Madame Frigidaire, Do Mar, do Céu, do Campo, Kitsch Metropolitanus"
dona,4,"Aguapé, Balada de Madame Frigidaire, Brasileiramente Linda, Jornal Blues (Canção Leve de Escárnio e Maldizer), Rock Romance de Um Robô Goliardo, Senhoras do Amazonas, Tocando Por Música"
come,3,"Aguapé, Baihuno, Balada de Madame Frigidaire, Brasileiramente Linda, Canção de Gesta de Um Trovador Eletrônico, Clamor No Deserto, Corpos Terrestres, Depois Das Seis, Kitsch Metropolitanus, Meu Cordial Brasileiro, Recitanda, Rock Romance de Um Robô Goliardo, Tambor Tantã"
kids,1,Balada de Madame Frigidaire
double,1,Balada de Madame Frigidaire
income,1,Balada de Madame Frigidaire
filho,6,"Balada de Madame Frigidaire, Canção de Gesta de Um Trovador Eletrônico, Dandy, De Primeira Grandeza, Lira dos Vinte Anos, Notícia de Terra Civilizada, Pequeno Mapa do Tempo, Rock Romance de Um Robô Goliardo"
compromete,1,Balada de Madame Frigidaire
estética,1,Balada de Madame Frigidaire
edipo-rei,1,Balada de Madame Frigidaire
momo,1,Balada de Madame Frigidaire
tomo,1,"Balada de Madame Frigidaire, Corpos Terrestres"
deleites,1,Balada de Madame Frigidaire
frigidez,1,Balada de Madame Frigidaire
inventores,1,Balada de Madame Frigidaire
peço,1,Balada de Madame Frigidaire
bis,2,"Balada de Madame Frigidaire, Beijo Molhado, Brincando Com a Vida, Jornal Blues (Canção Leve de Escárnio e Maldizer), Os Derradeiros Moicanos"
obrigado,3,"Balada de Madame Frigidaire, Em Resposta à Carta de Fã, Jornal Blues (Canção Leve de Escárnio e Maldizer)"
afinal,3,"Balada de Madame Frigidaire, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo"
pôs-se,1,Balada de Madame Frigidaire
país,12,"Balada de Madame Frigidaire, Caso Comum de Trânsito, Comentários a Respeito de John, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, Num País Feliz, Onde Jazz Meu Coração?, Recitanda, Voz da América"
terceira,2,"Balada de Madame Frigidaire, Monólogo das Grandezas do Brasil"
posto,3,"Balada de Madame Frigidaire, Bossa Em Palavrões, Depois Das Seis"
nunca,7,"Balada de Madame Frigidaire, Balada do Amor, Bossa Em Palavrões, Conheço o Meu Lugar, Fotografia 3X4, Lamento do Marginal Bem Sucedido"
passado,22,"Balada de Madame Frigidaire, Clamor No Deserto, Como Nossos Pais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Mucuripe, Sujeito de Sorte, Todo Sujo de Batom"
queira,1,Balada de Madame Frigidaire
orgia,1,Balada de Madame Frigidaire
cabecinha,1,Balada de Madame Frigidaire
fria,2,"Balada de Madame Frigidaire, Fotografia 3X4"
doce,1,Balada de Madame Frigidaire
gelado,1,Balada de Madame Frigidaire
trocadilho,1,Balada de Madame Frigidaire
infame,1,Balada de Madame Frigidaire
vraie,1,Balada de Madame Frigidaire
ballade,1,Balada de Madame Frigidaire
des,2,"A Palo Seco, Alucinação, Amor de Perdição, Amor e Crime, Arte Final, Baihuno, Balada de Madame Frigidaire, Brasileiramente Linda, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Clamor No Deserto, Comentários a Respeito de John, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Cuidar do Homem, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, Extra Cool, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Meu Nome é Cem, Na Hora do Almoço, Não Leve Flores, No Maior Jazz, Notícia de Terra Civilizada, Num País Feliz, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Pequeno Perfil de Um Cidadão Comum, Ploft, Quinhentos Anos de Quê?, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Seixo Rolado, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom, Tudo Outra Vez, Voz da América, Ypê"
dames,1,Balada de Madame Frigidaire
du,1,"Alucinação, Baihuno, Balada de Madame Frigidaire, Canção de Gesta de Um Trovador Eletrônico, Corpos Terrestres, E Que Tudo Mais Vá Para o Céu, Extra Cool, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, La Vida Es Sueño, Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Os Derradeiros Moicanos, Os Profissionais, Paralelas, Rock Romance de Um Robô Goliardo, Viva La Dolcezza"
temps,1,Balada de Madame Frigidaire
jadis,1,Balada de Madame Frigidaire
au,1,"Aguapé, Apenas Um Rapaz Latino Americano, Arte Final, Baihuno, Balada de Madame Frigidaire, Brincando Com a Vida, Carisma, Como Se Fosse Pecado, Conheço o Meu Lugar, Cuidar do Homem, Fotografia 3X4, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Monólogo das Grandezas do Brasil, Mucuripe, Num País Feliz, Objeto Direto, Os Derradeiros Moicanos, Os Profissionais, Pequeno Mapa do Tempo, Princesa do Meu Lugar, Rock Romance de Um Robô Goliardo, Tambor Tantã, Todo Sujo de Batom, Tudo Outra Vez, Voz da América"
contraire,1,Balada de Madame Frigidaire
negocio,1,Balada do Amor
punhais,1,Balada do Amor
mistérios,1,Balada do Amor
tais,1,"Alucinação, Balada do Amor, Como Nossos Pais, Galos, Noites e Quintais, No Maior Jazz, Objeto Direto, Paraíso"
nasci,2,"Balada do Amor, Carisma"
perdedor,1,Balada do Amor
mentir,2,"Amor e Crime, Balada do Amor, La Vida Es Sueño, Tambor Tantã"
fingidor,1,Balada do Amor
dores,1,"Arte Final, Baihuno, Balada do Amor, Os Profissionais"
romantismo,1,Balada do Amor
insolência,1,Balada do Amor
torna-se,1,Balada do Amor
natural,2,"Balada do Amor, Como Se Fosse Pecado"
tesão,3,"Balada do Amor, Dandy, Elegia Obscena"
pagã,1,Balada do Amor
vence,1,"Balada do Amor, Como Nossos Pais, Lamento do Marginal Bem Sucedido, Notícia de Terra Civilizada, Os Profissionais, Pequeno Perfil de Um Cidadão Comum"
djuan,1,
certeza,6,"Balada do Amor, Coração Selvagem, Fotografia 3X4, Nada Como Viver, Pequeno Mapa do Tempo, Recitanda"
gloria,4,"Balada do Amor, S.A."
move,1,"Balada do Amor, Nada Como Viver"
outras,3,"Balada do Amor, Pequeno Perfil de Um Cidadão Comum, Tocando Por Música"
estrelas,6,"Balada do Amor, Beijo Molhado, Divina Comédia Humana, Espacial, Ploft, Rock Romance de Um Robô Goliardo"
penou,1,Balada do Amor
carnavais,1,Balada do Amor
deixem-me,1,Balada do Amor
aprendiz,1,Balada do Amor
perverso,1,Balada do Amor
anjos,6,"Balada do Amor, Lamento do Marginal Bem Sucedido, Onde Jazz Meu Coração?, Rock Romance de Um Robô Goliardo, S.A., Seixo Rolado"
animais,3,"Balada do Amor, Bossa Em Palavrões, No Maior Jazz"
b,8,"A Palo Seco, Aguapé, Alucinação, Amor de Perdição, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Até Amanhã, Ate Mais Ver, Baihuno, Balada de Madame Frigidaire, Bebelo, Beijo Molhado, Bel Prazer, Bossa Em Palavrões, Brasileiramente Linda, Brincando Com a Vida, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Clamor No Deserto, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Dandy, De Primeira Grandeza, Depois Das Seis, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Medo de Avião, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mote e Glosa, Mucuripe, Na Hora do Almoço, Nada Como Viver, Não Leve Flores, Notícia de Terra Civilizada, Num País Feliz, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Paraíso (1982), Paralelas, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Ploft, Populus, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Seixo Rolado, Senhoras do Amazonas, Sensual, Sujeito de Sorte, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América"
bel,4,"Aguapé, Arte Final, Baihuno, Bebelo, Beijo Molhado, Como Nossos Pais, Coração Selvagem, Cuidar do Homem, Dandy, Depois Das Seis, E Que Tudo Mais Vá Para o Céu, Extra Cool, Na Hora do Almoço, Nada Como Viver, Os Derradeiros Moicanos, Paraíso, Paraíso (1982), Pequeno Mapa do Tempo, Rock Romance de Um Robô Goliardo, Tocando Por Música"
belo,13,"Aguapé, Baihuno, Bebelo, Como Nossos Pais, Depois Das Seis, E Que Tudo Mais Vá Para o Céu, Os Derradeiros Moicanos, Pequeno Mapa do Tempo, Rock Romance de Um Robô Goliardo"
g,2,"A Palo Seco, Aguapé, Alucinação, Amor de Perdição, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Até Amanhã, Ate Mais Ver, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Bebelo, Beijo Molhado, Bel Prazer, Bossa Em Palavrões, Brasileiramente Linda, Brincando Com a Vida, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Carisma, Caso Comum de Trânsito, Clamor No Deserto, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Dandy, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Medo de Avião, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mote e Glosa, Mucuripe, Na Hora do Almoço, Nada Como Viver, Não Leve Flores, No Maior Jazz, Notícia de Terra Civilizada, Num País Feliz, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Paraíso (1982), Paralelas, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Ploft, Populus, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Seixo Rolado, Senhoras do Amazonas, Sensual, Sujeito de Sorte, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América, Ypê"
bla,6,"Bebelo, La Vida Es Sueño, Se Você Tivesse Aparecido"
ba,2,"Aguapé, Alucinação, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Baihuno, Balada de Madame Frigidaire, Bebelo, Beijo Molhado, Bel Prazer, Bossa Em Palavrões, Brasileiramente Linda, Brincando Com a Vida, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Comentários a Respeito de John, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Dandy, De Primeira Grandeza, Depois Das Seis, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Não Leve Flores, Num País Feliz, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paralelas, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Ploft, Populus, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Tambor Tantã, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América"
bal,3,"Alucinação, Balada de Madame Frigidaire, Bebelo, Caso Comum de Trânsito, Como Se Fosse Pecado, Depois Das Seis, Espacial, Monólogo das Grandezas do Brasil, Não Leve Flores, Os Derradeiros Moicanos, Paralelas, Ploft, Populus, Rock Romance de Um Robô Goliardo, Tambor Tantã, Todo Sujo de Batom, Voz da América"
